,Number of combinations,Conditions,Loan,No Loan,Conversion Ratio
0,1.0,(df['Family'] >= 1),480.0,4520.0,9.6
1,1.0,(df['Family'] >= 2),373.0,3155.0,10.572562358276643
2,1.0,(df['Family'] >= 3),267.0,1965.0,11.96236559139785
3,1.0,(df['Family'] >= 4),134.0,1088.0,10.965630114566286
4,1.0,(df['Education'] >= 1),480.0,4520.0,9.6
5,1.0,(df['Education'] >= 2),387.0,2517.0,13.326446280991735
6,1.0,(df['Education'] >= 3),205.0,1296.0,13.657561625582945
7,1.0,(df['Securities Account'] == 0),420.0,4058.0,9.379187137114783
8,1.0,(df['Securities Account'] == 1),60.0,462.0,11.494252873563218
9,1.0,(df['CD Account'] == 0),340.0,4358.0,7.237122179650915
10,1.0,(df['CD Account'] == 1),140.0,162.0,46.35761589403973
11,1.0,(df['Online'] == 0),189.0,1827.0,9.375
12,1.0,(df['Online'] == 1),291.0,2693.0,9.75201072386059
13,1.0,(df['CreditCard'] == 0),337.0,3193.0,9.546742209631729
14,1.0,(df['CreditCard'] == 1),143.0,1327.0,9.727891156462585
15,1.0,(df['ZIPCode Prefix'] >= 90),480.0,4520.0,9.6
16,1.0,(df['ZIPCode Prefix'] >= 91),413.0,3884.0,9.611356760530603
17,1.0,(df['ZIPCode Prefix'] >= 92),358.0,3374.0,9.592711682743838
18,1.0,(df['ZIPCode Prefix'] >= 93),264.0,2480.0,9.620991253644315
19,1.0,(df['ZIPCode Prefix'] >= 94),221.0,2106.0,9.497206703910614
20,1.0,(df['ZIPCode Prefix'] >= 95),83.0,772.0,9.707602339181287
21,1.0,(df['ZIPCode Prefix'] >= 96),3.0,37.0,7.5
22,1.0,(df['CCAvg'] >= 0.0),480.0,4520.0,9.6
23,1.0,(df['CCAvg'] >= 1.0),433.0,2884.0,13.05396442568586
24,1.0,(df['CCAvg'] >= 2.0),388.0,1553.0,19.989696032972695
25,1.0,(df['CCAvg'] >= 3.0),332.0,570.0,36.80709534368071
